ProductID,CategoryID,Categories,Products,Prices,StockQuantity
PRODOXIID0,CATOID00XX1,Produce,Apple,2.97,15
PRODOXIID1,CATOID00XX1,Produce,Banana,2.02,25
PRODOXIID2,CATOID00XX1,Produce,Carrots,12.5,7
PRODOXIID3,CATOID00XX1,Produce,Lettuce,2.97,0
PRODOXIID4,CATOID00XX1,Produce,Tomato,20.75,28
PRODOXIID5,CATOID00XX1,Produce,Potato,30.35,19
PRODOXIID6,CATOID00XX1,Produce,Onions,46.99,23
PRODOXIID7,CATOID00XX1,Produce,Spinach,1.98,28
PRODOXIID8,CATOID00XX1,Produce,Oranges,49.89,8
PRODOXIID9,CATOID00XX1,Produce,Broccoli,34.85,16
PRODOXIID10,CATOID00XX2,Dairy ,Milk,4.57,26
PRODOXIID11,CATOID00XX2,Dairy ,Cheese,9.29,73
PRODOXIID12,CATOID00XX2,Dairy ,Yogurt,2,53
PRODOXIID13,CATOID00XX2,Dairy ,Butter,5,83
PRODOXIID14,CATOID00XX2,Dairy ,Eggs,3,57
PRODOXIID15,CATOID00XX2,Dairy ,Cottage Cheese,4,84
PRODOXIID16,CATOID00XX2,Dairy ,Cream,2.5,93
PRODOXIID17,CATOID00XX2,Dairy ,Sour Cream,3,94
PRODOXIID18,CATOID00XX2,Dairy ,Whipped Cream,4,50
PRODOXIID19,CATOID00XX2,Dairy ,White Cream,6,28
PRODOXIID20,CATOID00XX3,Meat and Seafood,Beef,15,19
PRODOXIID21,CATOID00XX3,Meat and Seafood,Chicken,4,10
PRODOXIID22,CATOID00XX3,Meat and Seafood,Pork,6,1
PRODOXIID23,CATOID00XX3,Meat and Seafood,Fish,20,0
PRODOXIID24,CATOID00XX3,Meat and Seafood,Shrimp,15,13
PRODOXIID25,CATOID00XX3,Meat and Seafood,Lobster,20,6
PRODOXIID26,CATOID00XX3,Meat and Seafood,Sausages,8,12
PRODOXIID27,CATOID00XX3,Meat and Seafood,Ham,15,10
PRODOXIID28,CATOID00XX3,Meat and Seafood,Turkey,4,2
PRODOXIID29,CATOID00XX3,Meat and Seafood,Lamb,20,14
PRODOXIID30,CATOID00XX4,Bakery,Bread,4,73
PRODOXIID31,CATOID00XX4,Bakery,Bagels,10,33
PRODOXIID32,CATOID00XX4,Bakery,Croissants,9.5,76
PRODOXIID33,CATOID00XX4,Bakery,Donuts,6.19,68
PRODOXIID34,CATOID00XX4,Bakery,Muffins,3,56
PRODOXIID35,CATOID00XX4,Bakery,Cookies,2.5,18
PRODOXIID36,CATOID00XX4,Bakery,Brownies,2.97,59
PRODOXIID37,CATOID00XX4,Bakery,Cakes,10,17
PRODOXIID38,CATOID00XX4,Bakery,Pies,15,56
PRODOXIID39,CATOID00XX4,Bakery,Rolls,9.43,7
PRODOXIID40,CATOID00XX5,Frozen Foods,Frozen Vegetables,4.66,24
PRODOXIID41,CATOID00XX5,Frozen Foods,    Frozen Fruits,8.9,19
PRODOXIID42,CATOID00XX5,Frozen Foods,    Frozen Meals,15,30
PRODOXIID43,CATOID00XX5,Frozen Foods,    Ice Cream,17.11,12
PRODOXIID44,CATOID00XX5,Frozen Foods,    Frozen Desserts,16.3,7
PRODOXIID45,CATOID00XX5,Frozen Foods,    Frozen Pizza,3.27,2
PRODOXIID46,CATOID00XX5,Frozen Foods,    Frozen Burritos,23.19,26
PRODOXIID47,CATOID00XX5,Frozen Foods,    Frozen Chicken Nuggets,39,18
PRODOXIID48,CATOID00XX5,Frozen Foods,    Frozen Fish Fillets,14.6,14
PRODOXIID49,CATOID00XX5,Frozen Foods,    Frozen Waffles,13.01,30
PRODOXIID50,CATOID00XX6,Canned and Packaged Goods,    Canned Beans,6.49,27
PRODOXIID51,CATOID00XX6,Canned and Packaged Goods,    Canned Vegetables,7.99,97
PRODOXIID52,CATOID00XX6,Canned and Packaged Goods,    Canned Tomatoes,6.99,38
PRODOXIID53,CATOID00XX6,Canned and Packaged Goods,    Canned Soups,9.65,88
PRODOXIID54,CATOID00XX6,Canned and Packaged Goods,    Pasta Sauce,5.27,26
PRODOXIID55,CATOID00XX6,Canned and Packaged Goods,    Canned Fruit,8.38,20
PRODOXIID56,CATOID00XX6,Canned and Packaged Goods,    Canned Tuna,7.34,79
PRODOXIID57,CATOID00XX6,Canned and Packaged Goods,    Canned Chicken,1.24,84
PRODOXIID58,CATOID00XX6,Canned and Packaged Goods,    Boxed Macaroni and Cheese,1.62,21
PRODOXIID59,CATOID00XX6,Canned and Packaged Goods,    Instant Noodles,4.66,8
PRODOXIID60,CATOID00XX7,Snacks and Beverages,    Potato Chips,2,43
PRODOXIID61,CATOID00XX7,Snacks and Beverages,    Popcorn,6.98,20
PRODOXIID62,CATOID00XX7,Snacks and Beverages,    Pretzels,6.98,87
PRODOXIID63,CATOID00XX7,Snacks and Beverages,    Crackers,3.98,78
PRODOXIID64,CATOID00XX7,Snacks and Beverages,    Nuts,8.98,53
PRODOXIID65,CATOID00XX7,Snacks and Beverages,    Granola Bars,7.48,45
PRODOXIID66,CATOID00XX7,Snacks and Beverages,    Energy Bars,7.67,30
PRODOXIID67,CATOID00XX7,Snacks and Beverages,    Soda,6.48,59
PRODOXIID68,CATOID00XX7,Snacks and Beverages,    Bottled Water,1.97,61
PRODOXIID69,CATOID00XX7,Snacks and Beverages,    Juice,2.48,83
PRODOXIID70,CATOID00XX8,Condiments and Sauces,    Ketchup,1.8,53
PRODOXIID71,CATOID00XX8,Condiments and Sauces,    Mustard,1.39,14
PRODOXIID72,CATOID00XX8,Condiments and Sauces,    Mayonnaise,3.12,72
PRODOXIID73,CATOID00XX8,Condiments and Sauces,    Barbecue Sauce,5.08,72
PRODOXIID74,CATOID00XX8,Condiments and Sauces,    Hot Sauce,3.02,50
PRODOXIID75,CATOID00XX8,Condiments and Sauces,    Soy Sauce,3.02,58
PRODOXIID76,CATOID00XX8,Condiments and Sauces,    Worcestershire Sauce,3.02,0
PRODOXIID77,CATOID00XX8,Condiments and Sauces,    Salad Dressing,1.22,54
PRODOXIID78,CATOID00XX8,Condiments and Sauces,    Pickles,5.12,63
PRODOXIID79,CATOID00XX8,Condiments and Sauces,    Salsa,2.97,96
PRODOXIID80,CATOID00XX9,Breakfast and Cereal,    Cereal,2.5,64
PRODOXIID81,CATOID00XX9,Breakfast and Cereal,    Oatmeal,3,25
PRODOXIID82,CATOID00XX9,Breakfast and Cereal,    Pancake Mix,2.5,33
PRODOXIID83,CATOID00XX9,Breakfast and Cereal,    Maple Syrup,10,15
PRODOXIID84,CATOID00XX9,Breakfast and Cereal,    Breakfast Bars,3,56
PRODOXIID85,CATOID00XX9,Breakfast and Cereal,    Instant Pancake Mix,1.5,91
PRODOXIID86,CATOID00XX9,Breakfast and Cereal,    Waffles,2,6
PRODOXIID87,CATOID00XX9,Breakfast and Cereal,    Breakfast Sausage,5,0
PRODOXIID88,CATOID00XX9,Breakfast and Cereal,    Breakfast Sandwiches,8,97
PRODOXIID89,CATOID00XX9,Breakfast and Cereal,    Breakfast Burritos,8,77
PRODOXIID90,CATOID00XX10,Pasta Rice and Grains,    Pasta,1.3,80
PRODOXIID91,CATOID00XX10,Pasta Rice and Grains,    Rice,3,89
PRODOXIID92,CATOID00XX10,Pasta Rice and Grains,    Quinoa,1.3,22
PRODOXIID93,CATOID00XX10,Pasta Rice and Grains,    Couscous,3.1,34
PRODOXIID94,CATOID00XX10,Pasta Rice and Grains,    Lentils,1.3,75
PRODOXIID95,CATOID00XX10,Pasta Rice and Grains,    Instant Rice,1.4,56
PRODOXIID96,CATOID00XX10,Pasta Rice and Grains,    Rice Pilaf,1.29,11
PRODOXIID97,CATOID00XX10,Pasta Rice and Grains,    Rice Noodles,2.29,39
PRODOXIID98,CATOID00XX10,Pasta Rice and Grains,    Barley,3.3,4
PRODOXIID99,CATOID00XX10,Pasta Rice and Grains,    Bulgur Wheat,3.12,58
PRODOXIID100,CATOID00XX11,Baking Supplies,    Flour,2,41
PRODOXIID101,CATOID00XX11,Baking Supplies,    Sugar,2,73
PRODOXIID102,CATOID00XX11,Baking Supplies,    Baking Powder,2,14
PRODOXIID103,CATOID00XX11,Baking Supplies,    Chocolate Chips,1.29,3
PRODOXIID104,CATOID00XX11,Baking Supplies,    Vanilla Extract,1.29,52
PRODOXIID105,CATOID00XX11,Baking Supplies,    Cake Mix,4,1
PRODOXIID106,CATOID00XX11,Baking Supplies,    Yeast,3,52
PRODOXIID107,CATOID00XX11,Baking Supplies,    Cocoa Powder,5,85
PRODOXIID108,CATOID00XX11,Baking Supplies,    Pie Crust Mix,5,40
PRODOXIID109,CATOID00XX11,Baking Supplies,    Food Coloring,5,51
PRODOXIID110,CATOID00XX12,Beverages,    Coffee Beans,12,6
PRODOXIID111,CATOID00XX12,Beverages,    Tea Bags,5,0
PRODOXIID112,CATOID00XX12,Beverages,    Bottled Water,0.5,77
PRODOXIID113,CATOID00XX12,Beverages,    Soft Drinks,0.75,31
PRODOXIID114,CATOID00XX12,Beverages,    Energy Drinks,4,86
PRODOXIID115,CATOID00XX12,Beverages,    Juice,2.5,23
PRODOXIID116,CATOID00XX12,Beverages,    Sports Drinks,2.5,98
PRODOXIID117,CATOID00XX12,Beverages,    Iced Tea Mix,2.5,2
PRODOXIID118,CATOID00XX12,Beverages,    Bottled Frappuccino,3.5,64
PRODOXIID119,CATOID00XX12,Beverages,    Sparkling Water,0.75,86
PRODOXIID120,CATOID00XX13,Household Essentials,    Paper Towels,10,54
PRODOXIID121,CATOID00XX13,Household Essentials,    Toilet Paper,12,81
PRODOXIID122,CATOID00XX13,Household Essentials,    Trash Bags,10,20
PRODOXIID123,CATOID00XX13,Household Essentials,    Cleaning Wipes,6,4
PRODOXIID124,CATOID00XX13,Household Essentials,    Laundry Detergent,10,38
PRODOXIID125,CATOID00XX13,Household Essentials,    Dish Soap,2,43
PRODOXIID126,CATOID00XX13,Household Essentials,    Air Fresheners,1,11
PRODOXIID127,CATOID00XX13,Household Essentials,    Batteries,6,22
PRODOXIID128,CATOID00XX13,Household Essentials,    Light Bulbs,8,30
PRODOXIID129,CATOID00XX13,Household Essentials,    Disposable Plates,10,44
PRODOXIID130,CATOID00XX14,Personal Care and Beauty,    Shampoo,20,94
PRODOXIID131,CATOID00XX14,Personal Care and Beauty,    Conditioner,10,57
PRODOXIID132,CATOID00XX14,Personal Care and Beauty,    Body Wash,30,75
PRODOXIID133,CATOID00XX14,Personal Care and Beauty,    Soap Bars,10,74
PRODOXIID134,CATOID00XX14,Personal Care and Beauty,    Toothpaste,5,22
PRODOXIID135,CATOID00XX14,Personal Care and Beauty,    Mouthwash,7.29,7
PRODOXIID136,CATOID00XX14,Personal Care and Beauty,    Deodorant,15.36,35
PRODOXIID137,CATOID00XX14,Personal Care and Beauty,    Razors,15,7
PRODOXIID138,CATOID00XX14,Personal Care and Beauty,    Lotion,8,31
PRODOXIID139,CATOID00XX14,Personal Care and Beauty,    Hair Gel,8.12,59
PRODOXIID140,CATOID00XX15,Baby and Toddler,    Diapers,7.28,11
PRODOXIID141,CATOID00XX15,Baby and Toddler,    Baby Wipes,9.16,84
PRODOXIID142,CATOID00XX15,Baby and Toddler,    Baby Formula,8.28,62
PRODOXIID143,CATOID00XX15,Baby and Toddler,    Baby Food,8.12,25
PRODOXIID144,CATOID00XX15,Baby and Toddler,    Pacifiers,8.39,95
PRODOXIID145,CATOID00XX15,Baby and Toddler,    Baby Shampoo,9.12,54
PRODOXIID146,CATOID00XX15,Baby and Toddler,    Baby Lotion,20,81
PRODOXIID147,CATOID00XX15,Baby and Toddler,    Baby Powder,29,15
PRODOXIID148,CATOID00XX15,Baby and Toddler,    Teething Toys,32,10
PRODOXIID149,CATOID00XX15,Baby and Toddler,    Diaper Creams,42,56
PRODOXIID150,CATOID00XX16,Pet Supplies,    Dog Food,21.16,39
PRODOXIID151,CATOID00XX16,Pet Supplies,    Cat Food,21.87,4
PRODOXIID152,CATOID00XX16,Pet Supplies,    Pet Treats,1,54
PRODOXIID153,CATOID00XX16,Pet Supplies,    Cat Litter,42.19,35
PRODOXIID154,CATOID00XX16,Pet Supplies,    Dog Toys,12,52
PRODOXIID155,CATOID00XX16,Pet Supplies,    Pet Shampoo,15,46
PRODOXIID156,CATOID00XX16,Pet Supplies,    Pet Brushes,12.19,66
PRODOXIID157,CATOID00XX16,Pet Supplies,    Collars and Leashes,10.43,3
PRODOXIID158,CATOID00XX16,Pet Supplies,    Bird Seed,10.98,39
PRODOXIID159,CATOID00XX16,Pet Supplies,    Fish Food,10.98,85
PRODOXIID160,CATOID00XX17,Medical Supplies,    Vitamins,60,95
PRODOXIID161,CATOID00XX17,Medical Supplies,    Supplements,127,51
PRODOXIID162,CATOID00XX17,Medical Supplies,    Pain Relievers,190,15
PRODOXIID163,CATOID00XX17,Medical Supplies,    Allergy Medication,78,26
PRODOXIID164,CATOID00XX17,Medical Supplies,    Cold and Flu Remedies,90,55
PRODOXIID165,CATOID00XX17,Medical Supplies,    Bandages,43,95
PRODOXIID166,CATOID00XX17,Medical Supplies,    Thermometers,31.97,36
PRODOXIID167,CATOID00XX17,Medical Supplies,    Hand Sanitizer,41.1,19
PRODOXIID168,CATOID00XX17,Medical Supplies,    Medical Masks,77,28
PRODOXIID169,CATOID00XX17,Medical Supplies,    Heating Pads,28,30
PRODOXIID170,CATOID00XX18,Office and School Supplies,    Notebooks,15,47
PRODOXIID171,CATOID00XX18,Office and School Supplies,    Pens and Pencils,3,41
PRODOXIID172,CATOID00XX18,Office and School Supplies,    Highlighters,5.98,73
PRODOXIID173,CATOID00XX18,Office and School Supplies,    Binders,6.2,66
PRODOXIID174,CATOID00XX18,Office and School Supplies,    Printer Paper,32,15
PRODOXIID175,CATOID00XX18,Office and School Supplies,    Sticky Notes,10.58,52
PRODOXIID176,CATOID00XX18,Office and School Supplies,    Calculators,64,83
PRODOXIID177,CATOID00XX18,Office and School Supplies,    Backpacks,113.97,45
PRODOXIID178,CATOID00XX18,Office and School Supplies,    Rulers,10,41
PRODOXIID179,CATOID00XX18,Office and School Supplies,    Desk Organizers,75.99,48
PRODOXIID180,CATOID00XX19,Hygiene,    All-Purpose Cleaner,20,15
PRODOXIID181,CATOID00XX19,Hygiene,    Glass Cleaner,19.99,69
PRODOXIID182,CATOID00XX19,Hygiene,    Disinfectant Spray,19,5
PRODOXIID183,CATOID00XX19,Hygiene,    Bleach,7.98,41
PRODOXIID184,CATOID00XX19,Hygiene,    Mop and Bucket,9.99,55
PRODOXIID185,CATOID00XX19,Hygiene,    Broom and Dustpan,10,1
PRODOXIID186,CATOID00XX19,Hygiene,    Vacuum Cleaner Bags,5.27,62
PRODOXIID187,CATOID00XX19,Hygiene,    Cleaning Brushes,3.1,13
PRODOXIID188,CATOID00XX19,Hygiene,    Sponges,1.25,8
PRODOXIID189,CATOID00XX19,Hygiene,    Trash Cans,3.54,77
PRODOXIID190,CATOID00XX20,Electronics and Appliances,    Batteries,35.45,42
PRODOXIID191,CATOID00XX20,Electronics and Appliances,    Phone Chargers,150,43
PRODOXIID192,CATOID00XX20,Electronics and Appliances,    Power Strips,21,83
PRODOXIID193,CATOID00XX20,Electronics and Appliances,    USB Cables,25.98,13
PRODOXIID194,CATOID00XX20,Electronics and Appliances,    Headphones,120.27,41
PRODOXIID195,CATOID00XX20,Electronics and Appliances,    Portable Speakers,90.01,58
PRODOXIID196,CATOID00XX20,Electronics and Appliances,    Laptop Sleeves,85.12,82
PRODOXIID197,CATOID00XX20,Electronics and Appliances,    HDMI Cables,21.29,10
PRODOXIID198,CATOID00XX20,Electronics and Appliances,    Surge Protectors,28.49,22
PRODOXIID199,CATOID00XX20,Electronics and Appliances,    Wireless Mouse,14.88,60
PRODOXIID200,CATOID00XX21,Home and Kitchen,    Kitchen Knife Set,44.47,75
PRODOXIID201,CATOID00XX21,Home and Kitchen,    Blender,379.95,43
PRODOXIID202,CATOID00XX21,Home and Kitchen,    Cookware Set,129,55
PRODOXIID203,CATOID00XX21,Home and Kitchen,    Coffee Maker,149,55
PRODOXIID204,CATOID00XX21,Home and Kitchen,    Toaster Oven,239.99,51
PRODOXIID205,CATOID00XX21,Home and Kitchen,    Dish Rack,32.99,89
PRODOXIID206,CATOID00XX21,Home and Kitchen,    Cutting Board,19.97,64
PRODOXIID207,CATOID00XX21,Home and Kitchen,    Utensil Sets,24.59,72
PRODOXIID208,CATOID00XX21,Home and Kitchen,    Mixing Bowls,27.99,21
PRODOXIID209,CATOID00XX21,Home and Kitchen,    Trash Can,19.96,3
PRODOXIID210,CATOID00XX22,Toys and Games,    Board Game,15.79,81
PRODOXIID211,CATOID00XX22,Toys and Games,    Puzzle,17.99,47
PRODOXIID212,CATOID00XX22,Toys and Games,    Doll,14.79,72
PRODOXIID213,CATOID00XX22,Toys and Games,    Action Figure,9.97,45
PRODOXIID214,CATOID00XX22,Toys and Games,    Lego Set,9.99,1
PRODOXIID215,CATOID00XX22,Toys and Games,    Remote Control Car,24.97,53
PRODOXIID216,CATOID00XX22,Toys and Games,    Play-Doh Set,16.97,48
PRODOXIID217,CATOID00XX22,Toys and Games,    Building Blocks,15.99,46
PRODOXIID218,CATOID00XX22,Toys and Games,    Stuffed Animal,12.97,23
PRODOXIID219,CATOID00XX22,Toys and Games,    Educational Toy,10.89,81
PRODOXIID220,CATOID00XX23,Apparel and Accessories        ,    T-shirt,8,8
PRODOXIID221,CATOID00XX23,Apparel and Accessories        ,    Jeans,23.98,78
PRODOXIID222,CATOID00XX23,Apparel and Accessories        ,    Sneakers,20.99,74
PRODOXIID223,CATOID00XX23,Apparel and Accessories        ,    Jacket,39.99,51
PRODOXIID224,CATOID00XX23,Apparel and Accessories        ,    Dress,26.51,80
PRODOXIID225,CATOID00XX23,Apparel and Accessories        ,    Belt,9.87,33
PRODOXIID226,CATOID00XX23,Apparel and Accessories        ,    Hat,5.65,83
PRODOXIID227,CATOID00XX23,Apparel and Accessories        ,    Sunglasses,9.97,60
PRODOXIID228,CATOID00XX23,Apparel and Accessories        ,    Watch,10,14
PRODOXIID229,CATOID00XX23,Apparel and Accessories        ,    Handbag,14.97,1
PRODOXIID230,CATOID00XX24,Automotive and Hardware,    Motor Oil,22.88,62
PRODOXIID231,CATOID00XX24,Automotive and Hardware,    Car Battery,49.61,3
PRODOXIID232,CATOID00XX24,Automotive and Hardware,    Tire Pressure Gauge,9.87,90
PRODOXIID233,CATOID00XX24,Automotive and Hardware,    Tool Set,19.97,62
PRODOXIID234,CATOID00XX24,Automotive and Hardware,    Flashlight,9.82,98
PRODOXIID235,CATOID00XX24,Automotive and Hardware,    Screwdriver Set,4.97,99
PRODOXIID236,CATOID00XX24,Automotive and Hardware,    Jumper Cables,14.97,25
PRODOXIID237,CATOID00XX24,Automotive and Hardware,    Car Wax,6.49,18
PRODOXIID238,CATOID00XX24,Automotive and Hardware,    Safety Vest,6.49,74
PRODOXIID239,CATOID00XX24,Automotive and Hardware,    Windshield Wipers,14.97,69
PRODOXIID240,CATOID00XX25,Seasonal Items,    Christmas Lights,50.45,17
PRODOXIID241,CATOID00XX25,Seasonal Items,    Halloween Costume,43.99,84
PRODOXIID242,CATOID00XX25,Seasonal Items,    Easter Eggs,43.99,53
PRODOXIID243,CATOID00XX25,Seasonal Items,    Thanksgiving Decorations,20,63
PRODOXIID244,CATOID00XX25,Seasonal Items,    Valentine's Day Cards,1.97,51
PRODOXIID245,CATOID00XX25,Seasonal Items,    Summer Beach Towel,20,17
PRODOXIID246,CATOID00XX25,Seasonal Items,    Winter Gloves,30,19
PRODOXIID247,CATOID00XX25,Seasonal Items,    Spring Planters,10,2
PRODOXIID248,CATOID00XX25,Seasonal Items,    Fourth of July Flags,5,8
PRODOXIID249,CATOID00XX25,Seasonal Items,    New Year's Eve Party Supplies,30,37
PRODOXIID250,CATOID00XX26,Outdoor and Garden,    Lawn Mower,300,81
PRODOXIID251,CATOID00XX26,Outdoor and Garden,    Garden Hose,50,45
PRODOXIID252,CATOID00XX26,Outdoor and Garden,    Patio Furniture Set,500,62
PRODOXIID253,CATOID00XX26,Outdoor and Garden,    BBQ Grill,560,0
PRODOXIID254,CATOID00XX26,Outdoor and Garden,    Garden Tools,30,0
PRODOXIID255,CATOID00XX26,Outdoor and Garden,    Hammock,50,25
PRODOXIID256,CATOID00XX26,Outdoor and Garden,    Outdoor Lanterns,20,81
PRODOXIID257,CATOID00XX26,Outdoor and Garden,    Plant Pots,10,65
PRODOXIID258,CATOID00XX26,Outdoor and Garden,    Bird Feeder,10,82
PRODOXIID259,CATOID00XX26,Outdoor and Garden,    Outdoor Umbrella,30,54
PRODOXIID260,CATOID00XX27,Books Music and Movies,    Novel,20,25
PRODOXIID261,CATOID00XX27,Books Music and Movies,    Biography Book,15,80
PRODOXIID262,CATOID00XX27,Books Music and Movies,    Cookbook,20,11
PRODOXIID263,CATOID00XX27,Books Music and Movies,    Music CD,10,65
PRODOXIID264,CATOID00XX27,Books Music and Movies,    Blu-ray Movie,15,8
PRODOXIID265,CATOID00XX27,Books Music and Movies,    Puzzle Book,15,51
PRODOXIID266,CATOID00XX27,Books Music and Movies,    Children's Book,9.97,66
PRODOXIID267,CATOID00XX27,Books Music and Movies,    Travel Guide,30,11
PRODOXIID268,CATOID00XX27,Books Music and Movies,    Classic Movie DVD,20,89
PRODOXIID269,CATOID00XX27,Books Music and Movies,    Self-Help Book,10,92
PRODOXIID270,CATOID00XX28,Sports and Fitness,    Yoga Mat,20,76
PRODOXIID271,CATOID00XX28,Sports and Fitness,    Dumbbell Set,50,89
PRODOXIID272,CATOID00XX28,Sports and Fitness,    Exercise Ball,15,6
PRODOXIID273,CATOID00XX28,Sports and Fitness,    Running Shoes,100,52
PRODOXIID274,CATOID00XX28,Sports and Fitness,    Fitness Tracker,50,60
PRODOXIID275,CATOID00XX28,Sports and Fitness,    Jump Rope,5.55,77
PRODOXIID276,CATOID00XX28,Sports and Fitness,    Resistance Bands,10,93
PRODOXIID277,CATOID00XX28,Sports and Fitness,    Water Bottles,5,41
PRODOXIID278,CATOID00XX28,Sports and Fitness,    Gym Bag,40,31
PRODOXIID279,CATOID00XX28,Sports and Fitness,    Sports Towel,5,1
PRODOXIID280,CATOID00XX29,Ethnic Foods,    Mexican Salsa,2,55
PRODOXIID281,CATOID00XX29,Ethnic Foods,    Indian Curry Paste,5,88
PRODOXIID282,CATOID00XX29,Ethnic Foods,    Chinese Noodles,0.5,82
PRODOXIID283,CATOID00XX29,Ethnic Foods,    Italian Pasta Sauce,2.3,32
PRODOXIID284,CATOID00XX29,Ethnic Foods,    Thai Jasmine Rice,5,31
PRODOXIID285,CATOID00XX29,Ethnic Foods,    Greek Olives,8,28
PRODOXIID286,CATOID00XX29,Ethnic Foods,    Japanese Sushi Rice,10,24
PRODOXIID287,CATOID00XX29,Ethnic Foods,    Korean Kimchi,5,73
PRODOXIID288,CATOID00XX29,Ethnic Foods,    Middle Eastern Hummus,5,45
PRODOXIID289,CATOID00XX29,Ethnic Foods,    African Spices,21,87
PRODOXIID290,CATOID00XX30,Deli and Prepared Foods,    Deli Sandwich,18,34
PRODOXIID291,CATOID00XX30,Deli and Prepared Foods,    Salad Bar,32.37,56
PRODOXIID292,CATOID00XX30,Deli and Prepared Foods,    Rotisserie Chicken,7.31,44
PRODOXIID293,CATOID00XX30,Deli and Prepared Foods,    Ready-to-Eat Sushi,38.99,8
PRODOXIID294,CATOID00XX30,Deli and Prepared Foods,    Pasta Salad,10,29
PRODOXIID295,CATOID00XX30,Deli and Prepared Foods,    Fresh Fruit Platter,3,68
PRODOXIID296,CATOID00XX30,Deli and Prepared Foods,    Antipasto Tray,50,53
PRODOXIID297,CATOID00XX30,Deli and Prepared Foods,    Meat and Cheese Platter,65.99,28
PRODOXIID298,CATOID00XX30,Deli and Prepared Foods,    Soup of the Day,17.29,47
PRODOXIID299,CATOID00XX30,Deli and Prepared Foods,    Dessert,35,98
